Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80623I52500K,Intel,Core i5-2500K,254,74.9,163108,https://cpu.userbenchmark.com/Intel-Core-i5-2500K/Rating/619
CPU,BX80633I74820K,Intel,Core i7-4820K,255,74.9,22014,https://cpu.userbenchmark.com/Intel-Core-i7-4820K/Rating/1675
CPU,,Intel,Core i7 980,256,74.9,2130,https://cpu.userbenchmark.com/SpeedTest/3336/IntelR-CoreTM-i7-CPU---------980----333GHz
CPU,BX80646E31231V3,Intel,Xeon E3-1231 v3,257,74.8,18630,https://cpu.userbenchmark.com/SpeedTest/11040/IntelR-XeonR-CPU-E3-1231-v3---340GHz
CPU,BX80677I57500,Intel,Core i5-7500,258,74.7,149987,https://cpu.userbenchmark.com/Intel-Core-i5-7500/Rating/3648
CPU,BX80677I57600T,Intel,Core i5-7600T,259,74.7,402,https://cpu.userbenchmark.com/SpeedTest/246226/IntelR-CoreTM-i5-7600T-CPU---280GHz
CPU,YD195XA8AEWOF,AMD,Ryzen TR 1950X,260,74.7,21289,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1950X/Rating/3932
CPU,,Intel,Xeon E5-2687W 0,261,74.6,782,https://cpu.userbenchmark.com/SpeedTest/8860/IntelR-XeonR-CPU-E5-2687W-0---310GHz
CPU,YD1600BBAFBOX,AMD,Ryzen 5 1600AF,262,74.6,85068,https://cpu.userbenchmark.com/SpeedTest/563877/AMD-Ryzen-5-1600-Six-Core-Processor
CPU,,Intel,Xeon E5-1650 0,263,74.5,9573,https://cpu.userbenchmark.com/SpeedTest/7093/IntelR-XeonR-CPU-E5-1650-0---320GHz
CPU,,Intel,Xeon E3-1270 V2,264,74.5,3250,https://cpu.userbenchmark.com/SpeedTest/11264/IntelR-XeonR-CPU-E3-1270-V2---350GHz
CPU,,Intel,Core i5-4670,265,74.5,50438,https://cpu.userbenchmark.com/SpeedTest/630/IntelR-CoreTM-i5-4670-CPU---340GHz
CPU,,Intel,Core i7-4790S,266,74.5,13724,https://cpu.userbenchmark.com/SpeedTest/13424/IntelR-CoreTM-i7-4790S-CPU---320GHz
CPU,YD2700BBAFBOX,AMD,Ryzen 7 2700,267,74.4,145981,https://cpu.userbenchmark.com/AMD-Ryzen-7-2700/Rating/3957
CPU,YD160XBCAEWOF,AMD,Ryzen 5 1600X,268,74.4,138320,https://cpu.userbenchmark.com/AMD-Ryzen-5-1600X/Rating/3920
CPU,BX80637I73770,Intel,Core i7-3770,269,74.3,272329,https://cpu.userbenchmark.com/Intel-Core-i7-3770/Rating/1979
CPU,,Intel,Xeon E3-1275 V2,270,74.3,432,https://cpu.userbenchmark.com/SpeedTest/4507/IntelR-XeonR-CPU-E3-1275-V2---350GHz
CPU,BX80662I56600,Intel,Core i5-6600,271,74.2,85971,https://cpu.userbenchmark.com/Intel-Core-i5-6600/Rating/3514
CPU,100-000000083,AMD,Ryzen 7 4700U,272,74.2,18393,https://cpu.userbenchmark.com/SpeedTest/1105478/AMD-Ryzen-7-4700U-with-Radeon-Graphics
CPU,,AMD,Ryzen 7 5800U,273,74.2,1106,https://cpu.userbenchmark.com/SpeedTest/1433044/AMD-Ryzen-7-5800U-with-Radeon-Graphics
CPU,,Intel,Core i5-11300H,274,74.1,5343,https://cpu.userbenchmark.com/SpeedTest/1504890/11th-Gen-IntelR-CoreTM-i5-11300H---310GHz
CPU,BX80646E31230V3,Intel,Xeon E3-1230 v3,275,74,8180,https://cpu.userbenchmark.com/SpeedTest/2171/IntelR-XeonR-CPU-E3-1230-v3---330GHz
CPU,BX80646E31246V3,Intel,Xeon E3-1246 v3,276,74,2535,https://cpu.userbenchmark.com/SpeedTest/11023/IntelR-XeonR-CPU-E3-1246-v3---350GHz
CPU,,Intel,Xeon E3-1240 v3,277,73.9,2739,https://cpu.userbenchmark.com/SpeedTest/4602/IntelR-XeonR-CPU-E3-1240-v3---340GHz
CPU,,Intel,Xeon E3-1240 V2,278,73.8,4728,https://cpu.userbenchmark.com/SpeedTest/5484/IntelR-XeonR-CPU-E3-1240-V2---340GHz
CPU,,Intel,Core i7-3820,279,73.6,41740,https://cpu.userbenchmark.com/SpeedTest/739/IntelR-CoreTM-i7-3820-CPU---360GHz
CPU,FH8068403419522,Intel,Core i5-8259U,280,73.5,3735,https://cpu.userbenchmark.com/SpeedTest/543736/IntelR-CoreTM-i5-8259U-CPU---230GHz
CPU,100-000000084,AMD,Ryzen 5 4500U,281,73.5,22762,https://cpu.userbenchmark.com/SpeedTest/1052299/AMD-Ryzen-5-4500U-with-Radeon-Graphics
CPU,,Intel,Core i5-4670S,282,73.5,1484,https://cpu.userbenchmark.com/SpeedTest/5523/IntelR-CoreTM-i5-4670S-CPU---310GHz
CPU,,Intel,Core i7-7820HK,283,73.4,17415,https://cpu.userbenchmark.com/SpeedTest/224965/IntelR-CoreTM-i7-7820HK-CPU---290GHz
CPU,BX80677I77700T,Intel,Core i7-7700T,284,73.4,6690,https://cpu.userbenchmark.com/SpeedTest/232624/IntelR-CoreTM-i7-7700T-CPU---290GHz
CPU,,Intel,Core i5-3570,285,73.4,100791,https://cpu.userbenchmark.com/SpeedTest/793/IntelR-CoreTM-i5-3570-CPU---340GHz
CPU,BX80715G7400,Intel,Pentium Gold G7400,286,73.4,13,https://cpu.userbenchmark.com/SpeedTest/1755065/IntelR-PentiumR-Gold-G7400
CPU,,Intel,Core i5-8279U,287,73.3,526,https://cpu.userbenchmark.com/SpeedTest/807756/IntelR-CoreTM-i5-8279U-CPU---240GHz
CPU,,Intel,Core i7-4770S,288,73.2,13183,https://cpu.userbenchmark.com/SpeedTest/2123/IntelR-CoreTM-i7-4770S-CPU---310GHz
CPU,100-000000105,AMD,Ryzen 5 4600U,289,73.2,471,https://cpu.userbenchmark.com/SpeedTest/1152158/AMD-Ryzen-5-4600U-with-Radeon-Graphics
CPU,,Intel,Xeon E3-1245 V2,290,73.1,2084,https://cpu.userbenchmark.com/SpeedTest/5622/IntelR-XeonR-CPU-E3-1245-V2---340GHz
CPU,BX80701G6600,Intel,Pentium Gold G6600,291,73,38,https://cpu.userbenchmark.com/SpeedTest/1454523/IntelR-PentiumR-Gold-G6600-CPU---420GHz
CPU,YD170XBCAEWOF,AMD,Ryzen 7 1700X,292,73,127036,https://cpu.userbenchmark.com/AMD-Ryzen-7-1700X/Rating/3915
CPU,,Intel,Core i7 970,293,73,3911,https://cpu.userbenchmark.com/SpeedTest/8374/IntelR-CoreTM-i7-CPU---------970----320GHz
CPU,,Intel,Core i7-8705G,294,72.9,5797,https://cpu.userbenchmark.com/SpeedTest/453718/IntelR-CoreTM-i7-8705G-CPU---310GHz
CPU,BX80646I54590,Intel,Core i5-4590,295,72.9,135712,https://cpu.userbenchmark.com/Intel-Core-i5-4590/Rating/2604
CPU,,Intel,Core i5-9300H,296,72.9,103889,https://cpu.userbenchmark.com/SpeedTest/744904/IntelR-CoreTM-i5-9300H-CPU---240GHz
CPU,,Intel,Xeon E3-1230 V2,297,72.9,8617,https://cpu.userbenchmark.com/SpeedTest/652/IntelR-XeonR-CPU-E3-1230-V2---330GHz
CPU,,Intel,Xeon E5-2690 v2,298,72.8,770,https://cpu.userbenchmark.com/SpeedTest/13436/IntelR-XeonR-CPU-E5-2690-v2---300GHz
CPU,,Intel,Xeon E5-1620 v2,299,72.7,9712,https://cpu.userbenchmark.com/SpeedTest/8354/IntelR-XeonR-CPU-E5-1620-v2---370GHz
